id;type;start;end;text;norm;score;apply;replacement
PER:659-670;PER;659;670;И.О. Петров;;0.50;false;[PER_001]
PHONE:737-755;PHONE;737;755;+7 (950) 766-16-19;+79507661619;0.90;true;[PHONE_001]
SNILS:842-856;SNILS;842;856;590-830-166 00;590-830-166 00;1.00;true;[SNILS_001]
PER:1297-1309;PER;1297;1309;И.О. Сидоров;;0.50;false;[PER_002]
PHONE:1579-1606;PHONE;1579;1606;+7 (930) 192-80-64 доб. 978;;0.90;true;[PHONE_002]
PHONE:1835-1850;PHONE;1835;1850;7-321-654-98-76;+73216549876;0.90;true;[PHONE_003]
PHONE:1941-1968;PHONE;1941;1968;+7 (999) 123-45-67 доб. 123;;0.90;true;[PHONE_004]
SNILS:2073-2087;SNILS;2073;2087;082-462-819 74;082-462-819 74;1.00;true;[SNILS_002]
SNILS:2113-2127;SNILS;2113;2127;139-099-603 98;139-099-603 98;0.20;false;[SNILS_003]
PHONE:3838-3856;PHONE;3838;3856;+7 (974) 684-91-34;+79746849134;0.90;true;[PHONE_005]
PHONE:4085-4112;PHONE;4085;4112;+7 (970) 829-18-82 доб. 986;;0.90;true;[PHONE_006]
PER:4459-4470;PER;4459;4470;И.О. Петров;;0.50;false;[PER_001]
SNILS:4925-4936;SNILS;4925;4936;79092207563;790-922-075 63;0.20;false;[SNILS_004]
SNILS:4945-4959;SNILS;4945;4959;579-754-323 61;579-754-323 61;1.00;true;[SNILS_005]
PHONE:4980-4995;PHONE;4980;4995;7-321-654-98-76;+73216549876;0.90;true;[PHONE_003]
SNILS:5005-5019;SNILS;5005;5019;194-875-749 49;194-875-749 49;0.20;false;[SNILS_006]
PER:5692-5703;PER;5692;5703;И.О. Петров;;0.50;false;[PER_001]
PHONE:5770-5798;PHONE;5770;5798;+7 (963) 182-31-67 доб. 6590;;0.90;true;[PHONE_007]
SNILS:5885-5899;SNILS;5885;5899;426-846-563 14;426-846-563 14;1.00;true;[SNILS_007]
